threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
0.1,0.587666820064427,0.561965811965812,0.9933178384660082,0.7178249002729372,0.8918490866897415,0.9185809528222727,0.5636072455248468,412,2665,23,3419
0.15,0.647645344377972,0.6029120977889628,0.9744334689134224,0.7449194891726818,0.8918490866897415,0.9185809528222727,0.6282632082948653,868,2209,88,3354
0.2,0.6988801963491333,0.645542216099193,0.9529343404997095,0.7696820368414877,0.8918490866897415,0.9185809528222727,0.6838119866294452,1276,1801,162,3280
0.25,0.7363092498849517,0.6856280973928033,0.9244625217896572,0.7873314363478906,0.8918490866897415,0.9185809528222727,0.7251496879341526,1618,1459,260,3182
0.3,0.7725111213376284,0.7354001441961067,0.8890180127832655,0.8049454162830462,0.8918490866897415,0.9185809528222727,0.7656009790923153,1976,1101,382,3060
0.35,0.7916858413867157,0.7760996290408055,0.8509587449157466,0.8118070953436807,0.8918490866897415,0.9185809528222727,0.7881703051845552,2232,845,513,2929
0.4,0.8028838778953827,0.8089372672586651,0.8204532248692621,0.8146545506995528,0.8918490866897415,0.9185809528222727,0.8018418220543906,2410,667,618,2824
0.45,0.8094799815922687,0.8388786198398028,0.7911098198721673,0.8142942583732058,0.8918490866897415,0.9185809528222727,0.8105695345704678,2554,523,719,2723
0.5,0.8094799815922687,0.8585397653194263,0.7652527600232423,0.8092165898617512,0.8918490866897415,0.9185809528222727,0.812103143092544,2643,434,808,2634
0.55,0.8087129927903053,0.8814737573861662,0.73678094131319,0.8026586485203355,0.8918490866897415,0.9185809528222727,0.8129793559344631,2736,341,906,2536
0.6,0.8084061972695199,0.9071667285555143,0.7097617664148751,0.7964140179299104,0.8918490866897415,0.9185809528222727,0.8142568988070475,2827,250,999,2443
0.65,0.7998159226875288,0.9235037653586999,0.6769320162696106,0.7812238055322716,0.8918490866897415,0.9185809528222727,0.8071042921777043,2884,193,1112,2330
0.7,0.7924528301886793,0.9397894736842105,0.6484601975595584,0.7674058793192368,0.8918490866897415,0.9185809528222727,0.8009931797027561,2934,143,1210,2232
0.75,0.7806412026384415,0.9519317160826595,0.6156304474142941,0.7477064220183486,0.8918490866897415,0.9185809528222727,0.7904281583837801,2970,107,1323,2119
0.8,0.7660684154011351,0.9646146388754241,0.5781522370714701,0.7229791099000908,0.8918490866897415,0.9185809528222727,0.7772139150908212,3004,73,1452,1990
0.85,0.7496548550391164,0.9773206751054853,0.5383497966298664,0.6942675159235668,0.8918490866897415,0.9185809528222727,0.762187572998066,3034,43,1589,1853
0.9,0.7324743058751342,0.984036488027366,0.5014526438117374,0.6643571978444958,0.8918490866897415,0.9185809528222727,0.7461764356530249,3049,28,1716,1726
